baylor,SAGE,OUTLAW,580,MAGICIAN,473,HERO,614,LOVER,242,JESTER,368,EVERYMAN,410,CAREGIVER,513,RULER,1102,CREATOR,958,INNOCENT,201,SAGE,1256,EXPLORER,1016,
bc,JESTER,OUTLAW,457,MAGICIAN,468,HERO,713,LOVER,346,JESTER,6904,EVERYMAN,510,CAREGIVER,3292,RULER,910,CREATOR,513,INNOCENT,452,SAGE,581,EXPLORER,551,
bccc,HERO,OUTLAW,3724,MAGICIAN,3177,HERO,5643,LOVER,1211,JESTER,1367,EVERYMAN,4638,CAREGIVER,1670,RULER,1485,CREATOR,2141,INNOCENT,4242,SAGE,1822,EXPLORER,2053,
belhaven,SAGE,OUTLAW,631,MAGICIAN,659,HERO,436,LOVER,796,JESTER,578,EVERYMAN,502,CAREGIVER,642,RULER,623,CREATOR,695,INNOCENT,301,SAGE,1199,EXPLORER,732,
bellarmine,SAGE,OUTLAW,575,MAGICIAN,498,HERO,871,LOVER,519,JESTER,612,EVERYMAN,564,CAREGIVER,636,RULER,766,CREATOR,746,INNOCENT,728,SAGE,1473,EXPLORER,945,
bellevue,RULER,OUTLAW,580,MAGICIAN,400,HERO,713,LOVER,588,JESTER,240,EVERYMAN,510,CAREGIVER,428,RULER,910,CREATOR,343,INNOCENT,628,SAGE,727,EXPLORER,262,
belmont,SAGE,OUTLAW,349,MAGICIAN,293,HERO,297,LOVER,277,JESTER,93,EVERYMAN,317,CAREGIVER,186,RULER,144,CREATOR,233,INNOCENT,176,SAGE,458,EXPLORER,197,
belmontcollege,OUTLAW,OUTLAW,226,MAGICIAN,142,HERO,59,LOVER,35,JESTER,64,EVERYMAN,216,CAREGIVER,128,RULER,144,CREATOR,191,INNOCENT,126,SAGE,94,EXPLORER,218,
bemidjistate,RULER,OUTLAW,251,MAGICIAN,239,HERO,218,LOVER,519,JESTER,176,EVERYMAN,325,CAREGIVER,178,RULER,623,CREATOR,187,INNOCENT,276,SAGE,288,EXPLORER,224,
ben,LOVER,OUTLAW,323,MAGICIAN,386,HERO,337,LOVER,865,JESTER,495,EVERYMAN,356,CAREGIVER,354,RULER,718,CREATOR,369,INNOCENT,527,SAGE,779,EXPLORER,366,
